Product Name,SKU,MRP (INR),Product URL,Image Count,Image 1,Image 2,Image 3,Image 4,Image 5,Image 6,Image 7,Image 8,Image 9,Image 10,Image 11,Image 12,Image 13,Description,Sizes,Colors,Fabric,Category,Work/Embellishment Details,Occasion,Care Instructions,Includes,Country of Origin,Stock Status,Other Attributes
Lime Green Slit Saree,IS-207,195000,https://isabydollywahal.com/product/lime-green-slit-saree-18010226,7,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-207/1u2xTWf3UcR-WhatsApp-Image-2026-05-04-at-7.jpeg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-207/4WIXZEwEU-t-WhatsApp-Image-2026-05-04-at-7.jpeg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-207/DTdvk33HCoM-WhatsApp-Image-2026-05-04-at-7.jpeg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-207/DfgHbZ5W4Tx-WhatsApp-Image-2026-05-04-at-7.jpeg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-207/YY6JPCEhDql-WhatsApp-Image-2026-05-04-at-7.jpeg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-207/kfPlviKYM_1-WhatsApp-Image-2026-05-04-at-7.jpeg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-207/v6RydTDv1oL-WhatsApp-Image-2026-05-04-at-7.jpeg,,,,,,,"Lime green saree skirt with high slit and delicate sequin, crystal, cutdana embroidery, paired with a strappy V-neck blouse with tassel detailing and matching saree drape.",Made-to-order/customizable,Lime green,N/A,Saree,"Sequin embroidery, crystal work, cutdana embroidery, tassel detailing",N/A,N/A,"Strappy V-neck blouse, matching saree drape",India (implied),Made-to-order,"Customizable; handcrafted; delivery 6-8/6-10 weeks, expedited available"
Gold Fishcut Lehenga with Trail,N/A,245000,https://isabydollywahal.com/product/gold-fishcut-lehenga-with-trail-18010228,8,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/-VnaNt1Jd-product.jpeg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/2rLHpI-lk-product.jpeg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/7u41Mhn1G-product.jpeg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/L_JrKTseQ-product.jpeg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/UOsEutiuD-product.jpeg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/e0Gf_Rosa-product.jpeg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/pG4rX4KEq-product.jpeg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/pJUviUNlU-product.jpeg,,,,,,"Antique gold fishcut lehenga with statement geometric embroidery and blue stone accents; skirt has a flowing trail, paired with a full-sleeve blouse with cutout detailing.",Made-to-order/customizable,Antique gold,N/A,"Lehenga (fishcut, trail)","Statement geometric embroidery, blue stone accents, cutout detailing on blouse",N/A,N/A,Full-sleeve blouse with cutout detailing; flowing trail skirt,N/A,Made-to-order,"Customizable; handcrafted; delivery 6-8/6-10 weeks, expedited available"
Iris Chrome Lehenga,IS-192,245000,https://isabydollywahal.com/product/iris-chrome-lehenga-18010229,10,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-192/8stggQRBK9--WhatsApp-Image-2026-05-04-at-7.jpeg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-192/I3UCxam3tNv-WhatsApp-Image-2026-05-04-at-7.jpeg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-192/IRT41L5Whev-WhatsApp-Image-2026-05-04-at-7.jpeg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-192/KbGBQ7bumE0-WhatsApp-Image-2026-05-04-at-7.jpeg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-192/TIbaybdwx9U-WhatsApp-Image-2026-05-04-at-7.jpeg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-192/V3nMDcW_wkw-WhatsApp-Image-2026-05-04-at-7.jpeg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-192/dCw7ZGaKP5r-WhatsApp-Image-2026-05-04-at-7.jpeg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-192/da_Yehom9QJ-WhatsApp-Image-2026-05-04-at-7.jpeg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-192/fn-o19TQ-sw-WhatsApp-Image-2026-05-04-at-7.jpeg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-192/pEapmP96yT-WhatsApp-Image-2026-05-04-at-7.jpeg,,,,"Metallic chrome lehenga paired with a statement scoop blouse and delicate tassel detailing, paired with a matching embroidered dupatta.",Made-to-order/customizable,Chrome,N/A,Lehenga,"Metallic chrome finish, tassel detailing, embroidered dupatta, handcrafted beadwork",N/A,N/A,"Scoop blouse, embroidered dupatta",India,Made-to-order,"Customizable; delivery 6-8/6-10 weeks, expedited available; Contact +91-9137877499 / isabydollywahal@gmail.com"
Turquoise Blue Fishcut Lehenga,IS-209,215000,https://isabydollywahal.com/product/turquoise-blue-fishcut-lehenga-18010230,13,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-209/1R4d8dQp3ME-WhatsApp-Image-2026-05-04-at-7.jpeg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-209/2FGf_9Q6x-V-WhatsApp-Image-2026-05-04-at-7.jpeg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-209/7RDSKDP5RbI-WhatsApp-Image-2026-05-04-at-7.jpeg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-209/HVZA7beohug-WhatsApp-Image-2026-05-04-at-7.jpeg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-209/Me9Uz3qtOS7-WhatsApp-Image-2026-05-04-at-7.jpeg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-209/Mem0pGFdfaf-WhatsApp-Image-2026-05-04-at-7.jpeg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-209/VwORlZzAOok-WhatsApp-Image-2026-05-04-at-7.jpeg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-209/ijA7CIGZPu2-WhatsApp-Image-2026-05-04-at-7.jpeg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-209/jBTuNIMAcBW-WhatsApp-Image-2026-05-04-at-7.jpeg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-209/o3eA-RNILpf-WhatsApp-Image-2026-05-04-at-7.jpeg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-209/sC1VpwrhQIR-WhatsApp-Image-2026-05-04-at-7.jpeg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-209/tHCa0fttbtB-WhatsApp-Image-2026-05-04-at-7.jpeg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-209/zFjE2Zi7rL6-WhatsApp-Image-2026-05-04-at-7.jpeg,"Striking turquoise blue skirt paired with a statement sweetheart blouse; all-over tonal embroidery, paired with a tassel saree drape.",Made-to-order/customizable,Turquoise blue,N/A,Lehenga (fishcut),All-over tonal embroidery; tassel drape,N/A,N/A,"Sweetheart-neckline blouse, tassel drape",India,Made-to-order,"Customizable; delivery 6-8/6-10 weeks, urgent delivery available"
Blush Pink Bridal Lehenga,IS-206,295000,https://isabydollywahal.com/product/blush-pink-bridal-lehenga-18010231,10,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-206/87dpNZO3KEv-WhatsApp-Image-2026-05-04-at-7.jpeg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-206/AEgH0761pIw-WhatsApp-Image-2026-05-04-at-7.jpeg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-206/JGUiVAQGqCU-WhatsApp-Image-2026-05-04-at-7.jpeg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-206/JVUPLFEWsWk-WhatsApp-Image-2026-05-04-at-7.jpeg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-206/YdZqIeV5Inl-WhatsApp-Image-2026-05-04-at-7.jpeg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-206/cvewMo4YR4R-WhatsApp-Image-2026-05-04-at-7.jpeg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-206/gVEV5-EFg-K-WhatsApp-Image-2026-05-04-at-7.jpeg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-206/kCtuxmNWaZu-WhatsApp-Image-2026-05-04-at-7.jpeg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-206/lB_CxCqi3bS-WhatsApp-Image-2026-05-04-at-7.jpeg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-206/oLSMdbc0xgd-WhatsApp-Image-2026-05-04-at-7.jpeg,,,,"A modern bridal lehenga with intricate sequin, crystal, threadwork, French-knot detailing and pearl embroidery. Features pink and mint green accents paired with an embellished short kurta and embroidered dupatta. Veil available upon request.",Made-to-order/customizable,Blush pink with mint green accents,N/A,Bridal Lehenga,"Sequin work, crystal detailing, threadwork, French-knot detailing, pearl embroidery",Bridal/Wedding,N/A,"Lehenga, short kurta, embroidered dupatta (veil available on request)",India (implied),Made-to-order,"Customizable; handcrafted 'one stitch, one bead at a time'; delivery 6-8/6-10 weeks, expedited on request"
Powder Pink Pearl Saree,IS-216,195000,https://isabydollywahal.com/product/powder-pink-pearl-saree-96412441,7,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-216/GN_ndssf7O-2.jpg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-216/R7yUQUpR1Z-2.jpg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-216/ZVBBX8zKYV-2.jpg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-216/k09SsyAsnI-2.jpg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-216/mAwQtZGy0b-2.jpg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-216/vCh81b7uo-2.jpg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-216/woHPKea6Ff-2.jpg,,,,,,,"This dreamy powder-pink saree is adorned with all-over pearl, crystal and cutdana embroidery, creating a soft, luminous shimmer. Paired with a graceful halter-neck blouse and a coordinating embellished drape.",Made-to-order/customizable,Powder pink,N/A,Saree,"All-over pearl, crystal, and cutdana embroidery",Wedding wear (implied),N/A,"Halter-neck blouse, coordinating embellished drape",India (implied),Made-to-order,Customizable; delivery 6-8/6-10 weeks
Sea Green Bridal Lehenga with Pink Accents,IS-236,249000,https://isabydollywahal.com/product/sea-green-bridal-lehenga-with-pink-accents-96412442,9,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-236/0JXodeq0gH-IMG_3115.jpg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-236/Ex3f6XiwR--IMG_2709.jpg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-236/GeQ_YlIj3-IMG_3119.jpg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-236/JK_MvqcC7J-IMG_3278.jpg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-236/VytvHImDu7-IMG_3279.jpg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-236/YBgOpiF_1x-IMG_2711.jpg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-236/oFhQHELa8W-IMG_3397.jpg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-236/tMomq_ibDL-IMG_2716.jpg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-236/zrT1ULKa3_-IMG_3281.jpg,,,,,"This dreamy sea-green lehenga is hand-embellished with pearls, crystals, sequins and cutdana, highlighted with rose-pink accents. Features a full-sleeved embroidered blouse with cascading tassels and a cutwork dupatta; an additional dupatta available on request.",Made-to-order/customizable,Sea green with pink accents,N/A,Bridal Lehenga,"Hand-embellished pearls, crystals, sequins, cutdana; cascading tassels; cutwork dupatta",Bridal/Wedding (implied),N/A,"Full-sleeved embroidered blouse, cutwork dupatta (additional dupatta available on request)",N/A,Made-to-order,Customizable; delivery 6-8/6-10 weeks
Midnight Blue Saree,IS-215,195000,https://isabydollywahal.com/product/midnight-blue-saree-96412443,6,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/7ZMRvSnuA-product.jpeg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-215/0jop83GfZ7-IMG_6455.jpg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-215/Fs_vLZE2HP-IMG_6457.jpg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-215/XuMaHft4c-IMG_6448.jpg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-215/ovpNXrUbeJ-IMG_6456.jpg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-215/oztX2B8uwJ-IMG_6446.jpg,,,,,,,,"An opulent midnight-blue pre-draped saree, richly embellished with all-over pearls, sequins and cutdana. A tassel-detailed blouse and attached saree drape lend a seamless, contemporary finish.",Made-to-order/customizable,Midnight blue (customizable),N/A,Pre-draped Saree,"All-over pearls, sequins, cutdana; tassel-detailed blouse",Special day/event wear,N/A,"Tassel-detailed blouse, attached saree drape",India (implied),Made-to-order,Customizable; delivery 6-8/6-10 weeks
Ira Gold Fishcut Lehenga,IS-233,235000,https://isabydollywahal.com/product/ira-gold-fishcut-lehenga-96412445,8,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-233/0WUQQmIGsZ-1.jpg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-233/4lXu5NpA0W-1.jpg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-233/8Yag019hJd-1.jpg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-233/IaNjpqAJo-1.jpg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-233/ehDtov755Q-1.jpg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-233/pK4MEIPc_J-1.jpg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-233/wSlCDQCsFk-1.jpg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-233/wwqtx9OH_W-1.jpg,,,,,,"Intricate all-over floral embroidery, delicately highlighted with tonal sequins and crystals, paired with a heavily embellished scoop-neck blouse and coordinating embroidered dupatta.",Made-to-order/customizable,Beige-gold,N/A,Fishcut Lehenga,"All-over floral embroidery, tonal sequins, crystals, heavily embellished blouse",N/A (bridal implied),N/A,"Lehenga, scoop-neck blouse, embroidered dupatta",N/A,Made-to-order,Customizable; delivery 6-8/6-10 weeks
Nyra Ombre Fishcut Lehenga,IS-238,235000,https://isabydollywahal.com/product/nyra-ombre-fishcut-lehenga-96412446,9,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-238/BxNOoYARt-7.jpg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-238/OqXhyDJBSJ-7.jpg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-238/SYIIpkZs-O-7.jpg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-238/TRZe8G5NN8-7.jpg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-238/jCtOK2NHWu-7.jpg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-238/me_Tb3yiou-7.jpg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-238/nzhb3G-5JN-7.jpg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-238/oBLn6bJMPP-7.jpg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-238/w9hSYBiWcK-7.jpg,,,,,"This ombre fishcut lehenga shimmers with midnight-blue and silver embroidery, illuminated with sequins and crystal detailing across the skirt. Paired with a strappy embellished blouse and a coordinating embroidered dupatta.",Made-to-order/customizable,Ombre midnight-blue/silver,N/A,Fishcut Lehenga,"Midnight-blue and silver hand embroidery, sequins, crystal detailing",Special occasion/wedding wear (implied),N/A,"Lehenga skirt, blouse, dupatta",India (implied),Made-to-order,Customizable; delivery 6-8/6-10 weeks
Pink Corset Saree with Slit,IS-235,185000,https://isabydollywahal.com/product/pink-corset-saree-with-slit-96412450,10,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-235/BPi7VbrC69-IMG_6462.jpg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-235/CyhryNxj_x-IMG_6476.jpg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-235/PhVT71iibq-IMG_3464.jpg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-235/VD3JQ4ngV-IMG_6465.jpg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-235/VG4Mv0W0Bj-IMG_6381.jpg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-235/_G4N3eFyB8-IMG_6474.jpg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-235/__cqi1gOq8-IMG_6464.jpg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-235/aBvb7Ojl6m-IMG_6463.jpg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-235/fq7e2S12V7-IMG_5892.jpg,https://cdn.fynd.com/v2/falling-surf-7c8bb8/fyprod/wrkr/products/pictures/item/free/original/IS-235/saOzpgQNIs-IMG_5908.jpg,,,,"A powder-pink saree featuring a dramatic slit, delicately embellished with crystals, cutdana, sequins and pearls, paired with an elongated corset blouse and coordinating embroidered drape.",Made-to-order/customizable,Powder pink,N/A,Saree,"Crystals, cutdana, sequins, pearls, embroidery",Special occasions/weddings (implied),N/A,"Elongated corset blouse, coordinating embroidered drape",India (implied),Made-to-order,Customizable; delivery 6-8/6-10 weeks
